,Postcode area,Postcode area name,Postcode district,District name,Latitude,Longitude
83,NW,North Western,NW7, Mill Hill,51.61483320603671,-0.2353445118110235
84,NW,North Western,NW8, St John's Wood,51.532285309048156,-0.1746596521739132
85,NW,North Western,NW9, The Hyde ,51.58805232822752,-0.25552040262582054
86,SE,South Eastern,SE1, Head district ,51.49920623150464,-0.09143505636638155
87,SE,South Eastern,SE10, Greenwich ,51.484267830238736,-1.9652519893904228e-05
88,SE,South Eastern,SE11, Kennington ,51.48983178423232,-0.11163606431535274
89,SE,South Eastern,SE12, Lee ,51.44467598076929,0.019938303846153856
90,SE,South Eastern,SE13, Lewisham ,51.45948185613532,-0.009612545839210153
91,SE,South Eastern,SE14, New Cross ,51.47586162768493,-0.042511188544152693
92,SE,South Eastern,SE15, Peckham ,51.47273691773774,-0.06561485175664081
93,SE,South Eastern,SE16, Rotherhithe ,51.496614065543035,-0.0530339232209737
94,SE,South Eastern,SE17, Walworth ,51.48817841185899,-0.09321621314102552
95,SE,South Eastern,SE18, Woolwich ,51.48428286083216,0.07258457030129126
96,SE,South Eastern,SE19, Norwood ,51.41797952188556,-0.08613798821548821
97,SE,South Eastern,SE1P, Head district ,51.49277669614916,-0.08015149928673201
98,SE,South Eastern,SE2, Abbey Wood ,51.489680074324234,0.11605853153153158
99,SE,South Eastern,SE20, Anerley ,51.41229098983743,-0.05942671544715442
100,SE,South Eastern,SE21, Dulwich ,51.43903518620687,-0.08876769310344834
101,SE,South Eastern,SE22, East Dulwich ,51.45446501559458,-0.07241495126705653
102,SE,South Eastern,SE23, Forest Hill ,51.44142761746036,-0.04917090000000003
103,SE,South Eastern,SE24, Herne Hill ,51.456467119205335,-0.10020556953642386
104,SE,South Eastern,SE25, South Norwood ,51.397777632850236,-0.07677329146537847
105,SE,South Eastern,SE26, Sydenham ,51.427861544715476,-0.05481457235772354
106,SE,South Eastern,SE27, West Norwood ,51.43057758201058,-0.10238191798941812
107,SE,South Eastern,SE28, Thamesmead,51.50236542553201,0.10447888416075654
108,SE,South Eastern,SE3, Blackheath ,51.4695779433962,0.019714556603773577
109,SE,South Eastern,SE4, Brockley ,51.46099539400433,-0.03519208779443254
110,SE,South Eastern,SE5, Camberwell ,51.473797955017396,-0.09144232295271051
111,SE,South Eastern,SE6, Catford ,51.43853607109561,-0.016576899766899765
112,SE,South Eastern,SE7, Charlton ,51.484111232843134,0.03432804411764709
113,SE,South Eastern,SE8, Deptford ,51.4818779671533,-0.02954620437956206
114,SE,South Eastern,SE9, Eltham ,51.445111979321815,0.054859661703887536
115,SW,South Western,SW10, West Brompton,51.483787696120714,-0.18280235560344837
116,SW,Battersea,SW11, Head district ,51.46800766075208,-0.16403235770049682
117,SW,Battersea,SW12, Balham ,51.446289496655474,-0.14912703010033435
118,SW,Battersea,SW13, Barnes ,51.476218007936524,-0.24359856613756592
119,SW,Battersea,SW14, Mortlake ,51.465363613079035,-0.26699667302452296
120,SW,Battersea,SW15, Putney ,51.45705462792569,-0.22843896529459298
121,SW,Battersea,SW16, Streatham ,51.42120626280623,-0.12921848032665212
122,SW,Battersea,SW17, Tooting ,51.43079871261932,-0.16465782502651125
123,SW,Battersea,SW18, Wandsworth ,51.45116720084393,-0.19144679662447298
124,SW,Battersea,SW19, Wimbledon ,51.42416878558435,-0.2030403924894
125,SW,South Western,SW1A, Head district ,51.50446676027399,-0.13220658219178086
126,SW,South Western,SW1E, Head district ,51.49801324444444,-0.13978774444444442
127,SW,South Western,SW1H, Head district ,51.498308223404266,-0.13360830851063837
128,SW,South Western,SW1P, Head district ,51.49034272663881,-0.13269320641562218
129,SW,South Western,SW1V, Head district ,51.489456582191785,-0.1399222619863013
130,SW,South Western,SW1W, Head district ,51.492525216524214,-0.15084084615384602
131,SW,South Western,SW1X, Head district ,51.49819621791767,-0.15658932203389825
132,SW,South Western,SW1Y, Head district ,51.507357999999996,-0.1345575212765957
133,SW,South Western,SW2, Brixton ,51.44928251014485,-0.1198268086956521
134,SW,Battersea,SW20, West Wimbledon,51.41092461496348,-0.22766310401459858
135,SW,South Western,SW3, Chelsea ,51.4891654942528,-0.16574613908046
136,SW,South Western,SW4, Clapham ,51.4611008574537,-0.1364919564744285
137,SW,South Western,SW5, Earls Court ,51.49157815434084,-0.1919184855305467
138,SW,South Western,SW6, Fulham ,51.47662966265863,-0.20126183967935826
139,SW,South Western,SW7, South Kensington ,51.49627453466868,-0.17701800462249584
140,SW,South Western,SW8, South Lambeth ,51.4764964503722,-0.1319701389578164
141,SW,South Western,SW9, Stockwell ,51.46936378274429,-0.11386477650727642
142,SW,,SW95,,51.48039840909092,-0.13627422727272717
143,W,Paddington,W10, North Kensington ,51.52315694666664,-0.2167294962962963
144,W,Paddington,W11, Notting Hill ,51.51229120540521,-0.21599367162162136
145,W,Paddington,W12, Shepherds Bush ,51.508280540816344,-0.24097328954081593
146,W,Paddington,W13, West Ealing ,51.512999702380974,-0.3211609744897959
147,W,Paddington,W14, West Kensington,51.49468126040061,-0.21026936979969194
148,W,Western,W1A, Head district,51.52438137575756,-0.11277321212121218
149,W,Western,W1B, Head district,51.51435031208054,-0.14094321476510058
150,W,Western,W1C, Head district,51.51449936428575,-0.14892617857142865
151,W,Western,W1D, Head district,51.51333184097429,-0.13275623209169055
152,W,Western,W1F, Head district,51.51347614044211,-0.13647290897269174
153,W,Western,W1G, Head district,51.51932187960343,-0.14827262464589236
154,W,Western,W1H, Head district,51.5176820715308,-0.16110890414878412
155,W,Western,W1J, Head district,51.50792645415473,-0.1449559369627507
156,W,Western,W1K, Head district,51.511126613272175,-0.15103267162471384
157,W,Western,W1S, Head district,51.511193438260946,-0.14239063304347846
158,W,Western,W1T, Head district,51.52025729153272,-0.13671580493033256
159,W,Western,W1U, Head district,51.518680668766805,-0.15349164986498595
160,W,Western,W1W, Head district,51.519217599049135,-0.1408608209191761
161,W,Paddington,W2, Head district ,51.51491690981436,-0.18662225817860295
162,W,Paddington,W3, Acton ,51.51059469754255,-0.268027267485822
163,W,Paddington,W4, Chiswick ,51.4911859885715,-0.2639856600000004
164,W,Paddington,W5, Ealing ,51.51315765196101,-0.3024549725490195
165,W,Paddington,W6, Hammersmith ,51.492609634961475,-0.22859140874036002
166,W,Paddington,W7, Hanwell ,51.511837130260545,-0.33593343286573124
167,W,Paddington,W8, Kensington ,51.50113201280255,-0.1943260753911804
168,W,Paddington,W9, Maida Hill ,51.52482514111492,-0.192626850174216
169,WC,Western Central,WC1A, Head district,51.520093801324535,-0.12049157615894067
170,WC,Western Central,WC1B, Head district,51.51947318713452,-0.12594211111111114
171,WC,Western Central,WC1E, Head district,51.521744754545445,-0.13245474545454544
172,WC,Western Central,WC1H, Head district,51.526892857142826,-0.12554469254658382
173,WC,Western Central,WC1N, Head district,51.52291561818178,-0.11971383272727286
174,WC,Western Central,WC1R, Head district,51.519619733333336,-0.11582753333333339
175,WC,Western Central,WC1V, Head district,51.51824147572817,-0.1165780582524272
176,WC,Western Central,WC1X, Head district,51.52671655379746,-0.11516441772151899
177,WC,Western Central,WC2A, Strand,51.51622832758618,-0.11422084482758627
178,WC,Western Central,WC2B, Strand,51.51492394652405,-0.12043911764705886
179,WC,Western Central,WC2E, Strand,51.511872537142885,-0.12336028571428571
180,WC,Western Central,WC2H, Strand,51.513320123919314,-0.12741239193083573
181,WC,Western Central,WC2N, Strand,51.5090848783784,-0.12489669594594591
182,WC,Western Central,WC2R, Strand,51.51168797272724,-0.11831779090909088
